0015281657490144	9181528165748611	1527235438749135	1527554854707	88.0
0015281657624014	6251528165763143	1527235438749212	1527557610566	37.0
0015281657869218	3181528165788836	1527235438751468	1527563022738	108.0
0015281657885070	2071528165790492	1527235438750331	1527600462436	27.0
0015281657923903	9511528165794816	1527235438749712	1527567658179	53.0
0015281658200489	3421528165821749	1527235438746838	1527556553519	93.0
0015281658210946	6011528165822626	1527235438746730	1527572615558	109.0
0015281658378725	8191528165837856	1527235438749212	1527594595560	37.0
0015281658763344	9491528165876241	1527235438747610	1527592912604	19.0
0015281658930422	0211528165893257	1527235438748767	1527565206926	11.0
0015281658972629	1011528165896934	1527235438750459	1527553035038	36.0
0015281659079748	7541528165906944	1527235438747116	1527569302950	79.0
0015281659183908	2171528165917990	1527235438747644	1527565618343	89.0
0015281659388840	1231528165936617	1527235438747644	1527561544860	89.0
0015281660033631	1831528165999374	1527235438750618	1527558801677	86.0
0015281660108155	0651528166006551	1527235438747490	1527573207591	64.0
0015281660371995	0641528166033366	1527235438751468	1527560217038	108.0
0015281661230420	6861528166119245	1527235438749135	1527573128325	88.0
0015281662104875	4541528166208897	1527235438751544	1527574349204	10.0
0015318970063334	1171531897004919	1527235438751468	1527647953984	108.0
0015318970175524	3081531897016003	1527235438750032	1527651773858	94.0
0015318970926520	5151531897090888	1527235438750556	1527653564302	10.0
0015318971172094	8331531897114794	1527235438747370	1527657188436	77.0
0015318971173738	4491531897115024	1527235438747878	1527661560009	20.0
0015318971283839	3371531897126466	1527235438748795	1527640417160	98.0
0015318971341301	3401531897132509	1527235438750902	1527676836347	33.0
0015318971490853	7691531897148864	1527235438748291	1527641319868	50.0
0015318971510538	7741531897150509	1527235438751328	1527644220955	20.0
0015318971955149	7491531897193671	1527235438750331	1527652457566	27.0
0015318972096988	3101531897208447	1527235438746959	1527668012187	95.0
0015318972411942	1891531897240122	1527235438751276	1527671210686	14.0
0015318972867650	5771531897285638	1527235438750618	1527675146634	86.0
0015318973413820	9051531897340070	1527235438750290	1527670374074	81.0
0015318973497891	3081531897347873	1527235438749008	1527640380990	47.0
0015318973532792	2751531897351450	1527235438747270	1527638282572	41.0
0015318973865099	6731531897385709	1527235438750556	1527666710756	10.0
0015318974198956	7271531897418687	1527235438749842	1527659269436	40.0
0015318974530272	8031531897450841	1527235438748621	1527645289412	61.0
0015318974588916	6821531897456848	1527235438750902	1527684935819	33.0
0015318974704818	2931531897468723	1527235438751248	1527638404027	21.0
0015318974747737	4301531897472930	1527235438749523	1527646732383	59.0
0015318974998752	5021531897497617	1527235438749509	1527644836507	83.0
0015318980676235	5071531898063332	1527235438748572	1527734556289	80.0
0015318980901605	3911531898086868	1527235438750347	1527742077244	98.0
0015318981017920	5481531898098385	1527235438748681	1527743615896	88.0
0015318981032272	0271531898099692	1527235438748681	1527760062885	88.0
0015318981042879	2471531898100835	1527235438746740	1527729268849	27.0
0015318981347781	4581531898131077	1527235438748442	1527740011728	95.0
0015318981724312	8611531898168790	1527235438750851	1527759301346	74.0
0015318981733264	4221531898169780	1527235438746730	1527723331846	109.0
0015318981886631	8751531898185418	1527235438747610	1527768515947	19.0
0015318981986485	2741531898195578	1527235438747644	1527735142839	89.0
0015318982434827	9741531898239799	1527235438750556	1527726571061	10.0
0015318982533587	8711531898249667	1527235438748347	1527742260330	38.0
0015318982933662	5031531898290303	1527235438746948	1527742218694	72.0
0015318983195579	6481531898316762	1527235438748572	1527727972587	80.0
0015318983213431	1071531898318639	1527235438749135	1527734474828	88.0
0015318983342066	0301531898329940	1527235438751157	1527754149216	10.0
0015318983345204	7841531898330491	1527235438747644	1527764953194	89.0
0015318983373016	0751531898333756	1527235438748137	1527744185642	63.0
